timestamp	seconds	frame_number	source_master_sha256	reason	filename
00:00:00.000	0.000000	0	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	mandatory opening t=0	decoded-frames/frame-000-f0000-at-00-00-00-000.jpg
00:00:00.100	0.100000	3	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	mandatory opening t=0.1; narration cue boundary	decoded-frames/frame-001-f0003-at-00-00-00-100.jpg
00:00:00.500	0.500000	15	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	opening continuity bracket	decoded-frames/frame-002-f0015-at-00-00-00-500.jpg
00:00:01.000	1.000000	30	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	opening continuity bracket	decoded-frames/frame-003-f0030-at-00-00-01-000.jpg
00:00:02.000	2.000000	60	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	opening continuity bracket	decoded-frames/frame-004-f0060-at-00-00-02-000.jpg
00:00:03.720	3.720000	112	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-005-f0112-at-00-00-03-720.jpg
00:00:05.000	5.000000	150	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-006-f0150-at-00-00-05-000.jpg
00:00:06.980	6.980000	209	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-007-f0209-at-00-00-06-980.jpg
00:00:08.600	8.600000	258	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-008-f0258-at-00-00-08-600.jpg
00:00:10.000	10.000000	300	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-009-f0300-at-00-00-10-000.jpg
00:00:10.960	10.960000	329	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-010-f0329-at-00-00-10-960.jpg
00:00:13.560	13.560000	407	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-011-f0407-at-00-00-13-560.jpg
00:00:15.000	15.000000	450	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-012-f0450-at-00-00-15-000.jpg
00:00:15.200	15.200000	456	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-013-f0456-at-00-00-15-200.jpg
00:00:15.400	15.400000	462	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; scene transition	decoded-frames/frame-014-f0462-at-00-00-15-400.jpg
00:00:15.600	15.600000	468	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-015-f0468-at-00-00-15-600.jpg
00:00:18.220	18.220000	547	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-016-f0547-at-00-00-18-220.jpg
00:00:20.000	20.000000	600	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-017-f0600-at-00-00-20-000.jpg
00:00:20.400	20.400000	612	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-018-f0612-at-00-00-20-400.jpg
00:00:23.700	23.700000	711	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-019-f0711-at-00-00-23-700.jpg
00:00:25.000	25.000000	750	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-020-f0750-at-00-00-25-000.jpg
00:00:26.612	26.612000	798	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-021-f0798-at-00-00-26-612.jpg
00:00:28.640	28.640000	859	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-022-f0859-at-00-00-28-640.jpg
00:00:30.000	30.000000	900	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-023-f0900-at-00-00-30-000.jpg
00:00:30.800	30.800000	924	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-024-f0924-at-00-00-30-800.jpg
00:00:31.000	31.000000	930	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; scene transition	decoded-frames/frame-025-f0930-at-00-00-31-000.jpg
00:00:31.200	31.200000	936	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-026-f0936-at-00-00-31-200.jpg
00:00:32.820	32.820000	985	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-027-f0985-at-00-00-32-820.jpg
00:00:34.520	34.520000	1036	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-028-f1036-at-00-00-34-520.jpg
00:00:35.000	35.000000	1050	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-029-f1050-at-00-00-35-000.jpg
00:00:36.960	36.960000	1109	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-030-f1109-at-00-00-36-960.jpg
00:00:39.180	39.180000	1175	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-031-f1175-at-00-00-39-180.jpg
00:00:40.000	40.000000	1200	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-032-f1200-at-00-00-40-000.jpg
00:00:41.880	41.880000	1256	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-033-f1256-at-00-00-41-880.jpg
00:00:44.467	44.466667	1334	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-034-f1334-at-00-00-44-467.jpg
00:00:44.667	44.666667	1340	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-035-f1340-at-00-00-44-667.jpg
00:00:44.680	44.680000	1340	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-036-f1340-at-00-00-44-680.jpg
00:00:44.867	44.866667	1346	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-037-f1346-at-00-00-44-867.jpg
00:00:45.000	45.000000	1350	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-038-f1350-at-00-00-45-000.jpg
00:00:46.900	46.900000	1407	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-039-f1407-at-00-00-46-900.jpg
00:00:48.320	48.320000	1450	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-040-f1450-at-00-00-48-320.jpg
00:00:50.000	50.000000	1500	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-041-f1500-at-00-00-50-000.jpg
00:00:50.760	50.760000	1523	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-042-f1523-at-00-00-50-760.jpg
00:00:53.354	53.354000	1601	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-043-f1601-at-00-00-53-354.jpg
00:00:55.000	55.000000	1650	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-044-f1650-at-00-00-55-000.jpg
00:00:55.920	55.920000	1678	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-045-f1678-at-00-00-55-920.jpg
00:00:57.260	57.260000	1718	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-046-f1718-at-00-00-57-260.jpg
00:00:59.640	59.640000	1789	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-047-f1789-at-00-00-59-640.jpg
00:01:00.000	60.000000	1800	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-048-f1800-at-00-01-00-000.jpg
00:01:01.400	61.400000	1842	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-049-f1842-at-00-01-01-400.jpg
00:01:01.412	61.412000	1842	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect pre-bracket	decoded-frames/frame-050-f1842-at-00-01-01-412.jpg
00:01:01.600	61.600000	1848	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-051-f1848-at-00-01-01-600.jpg
00:01:01.612	61.612000	1848	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; required exact defect timestamp	decoded-frames/frame-052-f1848-at-00-01-01-612.jpg
00:01:01.800	61.800000	1854	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-053-f1854-at-00-01-01-800.jpg
00:01:01.812	61.812000	1854	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect post-bracket	decoded-frames/frame-054-f1854-at-00-01-01-812.jpg
00:01:03.760	63.760000	1913	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-055-f1913-at-00-01-03-760.jpg
00:01:05.000	65.000000	1950	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-056-f1950-at-00-01-05-000.jpg
00:01:05.048	65.048000	1951	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-057-f1951-at-00-01-05-048.jpg
00:01:08.200	68.200000	2046	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-058-f2046-at-00-01-08-200.jpg
00:01:10.000	70.000000	2100	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-059-f2100-at-00-01-10-000.jpg
00:01:10.340	70.340000	2110	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-060-f2110-at-00-01-10-340.jpg
00:01:13.120	73.120000	2194	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-061-f2194-at-00-01-13-120.jpg
00:01:14.767	74.766667	2243	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-062-f2243-at-00-01-14-767.jpg
00:01:14.791	74.791000	2244	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect pre-bracket	decoded-frames/frame-063-f2244-at-00-01-14-791.jpg
00:01:14.967	74.966667	2249	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-064-f2249-at-00-01-14-967.jpg
00:01:14.991	74.991000	2250	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; required exact defect timestamp	decoded-frames/frame-065-f2250-at-00-01-14-991.jpg
00:01:15.000	75.000000	2250	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-066-f2250-at-00-01-15-000.jpg
00:01:15.167	75.166667	2255	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-067-f2255-at-00-01-15-167.jpg
00:01:15.191	75.191000	2256	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect post-bracket	decoded-frames/frame-068-f2256-at-00-01-15-191.jpg
00:01:17.280	77.280000	2318	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-069-f2318-at-00-01-17-280.jpg
00:01:20.000	80.000000	2400	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-070-f2400-at-00-01-20-000.jpg
00:01:20.193	80.193000	2406	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-071-f2406-at-00-01-20-193.jpg
00:01:22.556	82.556000	2477	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-072-f2477-at-00-01-22-556.jpg
00:01:25.000	85.000000	2550	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-073-f2550-at-00-01-25-000.jpg
00:01:25.520	85.520000	2566	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-074-f2566-at-00-01-25-520.jpg
00:01:28.580	88.580000	2657	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-075-f2657-at-00-01-28-580.jpg
00:01:30.000	90.000000	2700	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-076-f2700-at-00-01-30-000.jpg
00:01:31.000	91.000000	2730	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-077-f2730-at-00-01-31-000.jpg
00:01:33.733	93.733333	2812	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-078-f2812-at-00-01-33-733.jpg
00:01:33.735	93.735000	2812	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect pre-bracket	decoded-frames/frame-079-f2812-at-00-01-33-735.jpg
00:01:33.933	93.933333	2818	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-080-f2818-at-00-01-33-933.jpg
00:01:33.935	93.935000	2818	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; required exact defect timestamp	decoded-frames/frame-081-f2818-at-00-01-33-935.jpg
00:01:34.133	94.133333	2824	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-082-f2824-at-00-01-34-133.jpg
00:01:34.135	94.135000	2824	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect post-bracket	decoded-frames/frame-083-f2824-at-00-01-34-135.jpg
00:01:35.000	95.000000	2850	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-084-f2850-at-00-01-35-000.jpg
00:01:35.774	95.774000	2873	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-085-f2873-at-00-01-35-774.jpg
00:01:38.920	98.920000	2968	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-086-f2968-at-00-01-38-920.jpg
00:01:40.000	100.000000	3000	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-087-f3000-at-00-01-40-000.jpg
00:01:42.920	102.920000	3088	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-088-f3088-at-00-01-42-920.jpg
00:01:44.120	104.120000	3124	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-089-f3124-at-00-01-44-120.jpg
00:01:45.000	105.000000	3150	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	five-second cadence	decoded-frames/frame-090-f3150-at-00-01-45-000.jpg
00:01:45.572	105.572000	3167	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary	decoded-frames/frame-091-f3167-at-00-01-45-572.jpg
00:01:45.800	105.800000	3174	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	pre-transition bracket	decoded-frames/frame-092-f3174-at-00-01-45-800.jpg
00:01:46.000	106.000000	3180	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	scene transition	decoded-frames/frame-093-f3180-at-00-01-46-000.jpg
00:01:46.200	106.200000	3186	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	post-transition bracket	decoded-frames/frame-094-f3186-at-00-01-46-200.jpg
00:01:46.720	106.720000	3202	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect pre-bracket	decoded-frames/frame-095-f3202-at-00-01-46-720.jpg
00:01:46.920	106.920000	3208	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	narration cue boundary; required exact defect timestamp	decoded-frames/frame-096-f3208-at-00-01-46-920.jpg
00:01:47.120	107.120000	3214	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	required defect post-bracket	decoded-frames/frame-097-f3214-at-00-01-47-120.jpg
00:01:50.000	110.000000	3300	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	final hold start; five-second cadence	decoded-frames/frame-098-f3300-at-00-01-50-000.jpg
00:01:51.000	111.000000	3330	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	final hold midpoint	decoded-frames/frame-099-f3330-at-00-01-51-000.jpg
00:01:51.967	111.966667	3359	2e42e2d7498233d61ac89e1a166680215f872f3881f9a8a951fe57ec75d23bf4	final frame	decoded-frames/frame-100-f3359-at-00-01-51-967.jpg
